corridor,frame,time_sec,rat_x,rat_y,midpoint_x,midpoint_y
1,747,29.88,262,62,255,73
2,805,32.2,379,243,374,269
1,927,37.08,283,67,255,73
4,1051,42.04,128,226,131,253
3,1099,43.96,228,447,252,442
2,1373,54.92,377,296,374,269
1,1798,71.92,282,72,255,73
4,2181,87.24,133,230,131,253
3,2558,102.32,231,443,252,442
2,2786,111.44,376,298,374,269
1,2913,116.52,278,71,255,73
4,3020,120.8,131,251,131,253
3,3085,123.4,226,440,252,442
2,3467,138.68,378,297,374,269
1,3638,145.52,282,68,255,73
4,3896,155.84,128,243,131,253
3,4144,165.76,227,441,252,442
2,4425,177.0,378,293,374,269
1,4860,194.4,283,67,255,73
2,5341,213.64,376,243,374,269
3,5950,238.0,272,446,252,442
4,6268,250.72,131,268,131,253
1,6731,269.24,231,63,255,73
2,6827,273.08,376,241,374,269
3,6939,277.56,281,439,252,442
4,7789,311.56,132,258,131,253
1,8189,327.56,232,64,255,73
